"","year","mun","trat","pto","se","value"
"61",2003,"Tancitaro",1,0,"Agriculture, forestry, fishing and hunting",1541
"62",2003,"Cotija",1,0,"Agriculture, forestry, fishing and hunting",216
"63",2003,"Chilchota",1,0,"Agriculture, forestry, fishing and hunting",5
"64",2003,"Jacona",0,0,"Agriculture, forestry, fishing and hunting",818
"65",2003,"Jiquilpan",0,0,"Agriculture, forestry, fishing and hunting",430
"66",2003,"La Piedad",0,0,"Agriculture, forestry, fishing and hunting",1413
"67",2003,"Los Reyes",1,0,"Agriculture, forestry, fishing and hunting",1299
"68",2003,"Periban",1,0,"Agriculture, forestry, fishing and hunting",1321
"69",2003,"Sahuayo",0,0,"Agriculture, forestry, fishing and hunting",83
"70",2003,"Tinguindin",1,0,"Agriculture, forestry, fishing and hunting",700
"71",2003,"Tocumbo",1,0,"Agriculture, forestry, fishing and hunting",923
"72",2003,"Venustiano Carranza",0,0,"Agriculture, forestry, fishing and hunting",112
"73",2003,"Zamora",0,0,"Agriculture, forestry, fishing and hunting",1477
"74",2003,"Penjamillo",0,0,"Agriculture, forestry, fishing and hunting",51
"75",2003,"Pajacuaran",0,0,"Agriculture, forestry, fishing and hunting",287
"76",2003,"Vista Hermosa",0,0,"Agriculture, forestry, fishing and hunting",144
"77",2003,"Tanhuato",0,0,"Agriculture, forestry, fishing and hunting",12
"78",2003,"Brisenas",0,0,"Agriculture, forestry, fishing and hunting",62
"79",2003,"Zinaparo",0,0,"Agriculture, forestry, fishing and hunting",0
"80",2003,"Churintzio",0,0,"Agriculture, forestry, fishing and hunting",12
"81",2003,"Numaran",0,0,"Agriculture, forestry, fishing and hunting",1004
"82",2003,"Tangancicuaro",1,0,"Agriculture, forestry, fishing and hunting",583
"83",2003,"Purepero",1,0,"Agriculture, forestry, fishing and hunting",275
"84",2003,"Tlazazalca",0,0,"Agriculture, forestry, fishing and hunting",157
"85",2003,"Cojumatlan de Regules",0,0,"Agriculture, forestry, fishing and hunting",0
"86",2003,"Chavinda",0,0,"Agriculture, forestry, fishing and hunting",48
"87",2003,"Tangamandapio",1,0,"Agriculture, forestry, fishing and hunting",24
"88",2003,"Yurecuaro",0,0,"Agriculture, forestry, fishing and hunting",217
"89",2003,"Ecuandureo",0,0,"Agriculture, forestry, fishing and hunting",219
"90",2003,"Villamar",0,0,"Agriculture, forestry, fishing and hunting",0
"91",2003,"Ixtlan",0,0,"Agriculture, forestry, fishing and hunting",294
"92",2003,"Marcos Castellanos",0,0,"Agriculture, forestry, fishing and hunting",36
"93",2003,"Hidalgo",1,0,"Agriculture, forestry, fishing and hunting",208
"94",2003,"Jungapeo",1,0,"Agriculture, forestry, fishing and hunting",5
"95",2003,"Zitacuaro",1,0,"Agriculture, forestry, fishing and hunting",428
"96",2003,"Angangueo",0,0,"Agriculture, forestry, fishing and hunting",12
"97",2003,"Tlalpujahua",0,0,"Agriculture, forestry, fishing and hunting",0
"98",2003,"Ocampo",1,0,"Agriculture, forestry, fishing and hunting",0
"99",2003,"Maravatio",0,0,"Agriculture, forestry, fishing and hunting",29
"100",2003,"Contepec",0,0,"Agriculture, forestry, fishing and hunting",12
"101",2003,"Huetamo",0,0,"Agriculture, forestry, fishing and hunting",7
"102",2003,"San Lucas",0,0,"Agriculture, forestry, fishing and hunting",137
"103",2003,"Irimbo",0,0,"Agriculture, forestry, fishing and hunting",9
"104",2003,"Aporo",0,0,"Agriculture, forestry, fishing and hunting",0
"105",2003,"Tuxpan",1,0,"Agriculture, forestry, fishing and hunting",723
"106",2003,"Senguio",0,0,"Agriculture, forestry, fishing and hunting",60
"107",2003,"Tiquicheo",0,0,"Agriculture, forestry, fishing and hunting",0
"108",2003,"Tuzantla",0,0,"Agriculture, forestry, fishing and hunting",0
"109",2003,"Juarez",1,0,"Agriculture, forestry, fishing and hunting",0
"110",2003,"Lazaro Cardenas",0,0,"Agriculture, forestry, fishing and hunting",515
"111",2004,"Coahuayana",0,0,"Agriculture, forestry, fishing and hunting",152
"112",2004,"Aquila",0,0,"Agriculture, forestry, fishing and hunting",43
"113",2004,"Morelia",0,0,"Agriculture, forestry, fishing and hunting",2611
"114",2004,"Nocupetaro",0,0,"Agriculture, forestry, fishing and hunting",0
"115",2004,"Patzcuaro",1,0,"Agriculture, forestry, fishing and hunting",402
"116",2004,"Quiroga",1,0,"Agriculture, forestry, fishing and hunting",10
"117",2004,"Tacambaro",1,0,"Agriculture, forestry, fishing and hunting",1662
"118",2004,"Turicato",1,0,"Agriculture, forestry, fishing and hunting",66
"119",2004,"Zacapu",0,0,"Agriculture, forestry, fishing and hunting",464
"120",2004,"Tarimbaro",1,0,"Agriculture, forestry, fishing and hunting",380
"121",2004,"Acuitzio",1,0,"Agriculture, forestry, fishing and hunting",36
"122",2004,"Ario",1,0,"Agriculture, forestry, fishing and hunting",907
"123",2004,"Erongaricuaro",1,0,"Agriculture, forestry, fishing and hunting",6
"124",2004,"La Huacana",0,0,"Agriculture, forestry, fishing and hunting",96
"125",2004,"Huiramba",1,0,"Agriculture, forestry, fishing and hunting",0
"126",2004,"Lagunillas",1,0,"Agriculture, forestry, fishing and hunting",60
"127",2004,"Madero",1,0,"Agriculture, forestry, fishing and hunting",53
"128",2004,"Salvador Escalante",1,0,"Agriculture, forestry, fishing and hunting",596
"129",2004,"Tzintzuntzan",1,0,"Agriculture, forestry, fishing and hunting",36
"130",2004,"Angamacutiro",0,0,"Agriculture, forestry, fishing and hunting",0
"131",2004,"Jose Sixto Verduzco",0,0,"Agriculture, forestry, fishing and hunting",83
"132",2004,"Morelos",0,0,"Agriculture, forestry, fishing and hunting",0
"133",2004,"Panindicuaro",0,0,"Agriculture, forestry, fishing and hunting",0
"134",2004,"Puruandiro",0,0,"Agriculture, forestry, fishing and hunting",450
"135",2004,"Churumuco",0,0,"Agriculture, forestry, fishing and hunting",0
"136",2004,"Zinapecuaro",1,0,"Agriculture, forestry, fishing and hunting",102
"137",2004,"Querendaro",0,0,"Agriculture, forestry, fishing and hunting",30
"138",2004,"Indaparapeo",0,0,"Agriculture, forestry, fishing and hunting",0
"139",2004,"Charo",0,0,"Agriculture, forestry, fishing and hunting",0
"140",2004,"Alvaro Obregon",0,0,"Agriculture, forestry, fishing and hunting",260
"141",2004,"Coeneo",0,0,"Agriculture, forestry, fishing and hunting",0
"142",2004,"Jimenez",0,0,"Agriculture, forestry, fishing and hunting",12
"143",2004,"Huaniqueo",0,0,"Agriculture, forestry, fishing and hunting",12
"144",2004,"Caracuaro",0,0,"Agriculture, forestry, fishing and hunting",0
"145",2004,"Cuitzeo",0,0,"Agriculture, forestry, fishing and hunting",94
"146",2004,"Chucandiro",0,0,"Agriculture, forestry, fishing and hunting",0
"147",2004,"Santa Ana Maya",0,0,"Agriculture, forestry, fishing and hunting",27
"148",2004,"Huandacareo",0,0,"Agriculture, forestry, fishing and hunting",176
"149",2004,"Copandaro",0,0,"Agriculture, forestry, fishing and hunting",0
"150",2004,"Tzitzio",0,0,"Agriculture, forestry, fishing and hunting",0
"151",2004,"Apatzingan",1,0,"Agriculture, forestry, fishing and hunting",461
"152",2004,"Arteaga",0,0,"Agriculture, forestry, fishing and hunting",0
"153",2004,"Charapan",0,0,"Agriculture, forestry, fishing and hunting",12
"154",2004,"Cheran",0,0,"Agriculture, forestry, fishing and hunting",0
"155",2004,"Gabriel Zamora",0,0,"Agriculture, forestry, fishing and hunting",126
"156",2004,"Mugica",0,0,"Agriculture, forestry, fishing and hunting",120
"157",2004,"Nuevo Urecho",0,0,"Agriculture, forestry, fishing and hunting",99
"158",2004,"Paracuaro",0,0,"Agriculture, forestry, fishing and hunting",73
"159",2004,"Paracho",0,0,"Agriculture, forestry, fishing and hunting",0
"160",2004,"Taretan",1,0,"Agriculture, forestry, fishing and hunting",1616
"161",2004,"Uruapan",1,0,"Agriculture, forestry, fishing and hunting",4365
"162",2004,"Tingambato",1,0,"Agriculture, forestry, fishing and hunting",598
"163",2004,"Tepalcatepec",0,0,"Agriculture, forestry, fishing and hunting",53
"164",2004,"Buenavista",0,0,"Agriculture, forestry, fishing and hunting",80
"165",2004,"Ziracuaretiro",1,0,"Agriculture, forestry, fishing and hunting",450
"166",2004,"Nuevo Parangaricutiro",1,0,"Agriculture, forestry, fishing and hunting",1108
"167",2004,"Nahuatzen",0,0,"Agriculture, forestry, fishing and hunting",0
"168",2004,"Coalcoman",0,0,"Agriculture, forestry, fishing and hunting",0
"169",2004,"Tumbiscatio",0,0,"Agriculture, forestry, fishing and hunting",31
"170",2004,"Aguililla",0,0,"Agriculture, forestry, fishing and hunting",0
"171",2004,"Tancitaro",1,0,"Agriculture, forestry, fishing and hunting",1730
"172",2004,"Cotija",1,0,"Agriculture, forestry, fishing and hunting",192
"173",2004,"Chilchota",1,0,"Agriculture, forestry, fishing and hunting",0
"174",2004,"Jacona",0,0,"Agriculture, forestry, fishing and hunting",899
"175",2004,"Jiquilpan",0,0,"Agriculture, forestry, fishing and hunting",377
"176",2004,"La Piedad",0,0,"Agriculture, forestry, fishing and hunting",1277
"177",2004,"Los Reyes",1,0,"Agriculture, forestry, fishing and hunting",1414
"178",2004,"Periban",1,0,"Agriculture, forestry, fishing and hunting",1271
"179",2004,"Sahuayo",0,0,"Agriculture, forestry, fishing and hunting",58
"180",2004,"Tinguindin",1,0,"Agriculture, forestry, fishing and hunting",811
"181",2004,"Tocumbo",1,0,"Agriculture, forestry, fishing and hunting",975
"182",2004,"Venustiano Carranza",0,0,"Agriculture, forestry, fishing and hunting",133
"183",2004,"Zamora",0,0,"Agriculture, forestry, fishing and hunting",1484
"184",2004,"Penjamillo",0,0,"Agriculture, forestry, fishing and hunting",37
"185",2004,"Pajacuaran",0,0,"Agriculture, forestry, fishing and hunting",309
"186",2004,"Vista Hermosa",0,0,"Agriculture, forestry, fishing and hunting",159
"187",2004,"Tanhuato",0,0,"Agriculture, forestry, fishing and hunting",21
"188",2004,"Brisenas",0,0,"Agriculture, forestry, fishing and hunting",46
"189",2004,"Zinaparo",0,0,"Agriculture, forestry, fishing and hunting",0
"190",2004,"Churintzio",0,0,"Agriculture, forestry, fishing and hunting",12
"191",2004,"Numaran",0,0,"Agriculture, forestry, fishing and hunting",919
"192",2004,"Tangancicuaro",1,0,"Agriculture, forestry, fishing and hunting",573
"193",2004,"Purepero",1,0,"Agriculture, forestry, fishing and hunting",249
"194",2004,"Tlazazalca",0,0,"Agriculture, forestry, fishing and hunting",146
"195",2004,"Cojumatlan de Regules",0,0,"Agriculture, forestry, fishing and hunting",0
"196",2004,"Chavinda",0,0,"Agriculture, forestry, fishing and hunting",48
"197",2004,"Tangamandapio",1,0,"Agriculture, forestry, fishing and hunting",17
"198",2004,"Yurecuaro",0,0,"Agriculture, forestry, fishing and hunting",267
"199",2004,"Ecuandureo",0,0,"Agriculture, forestry, fishing and hunting",178
"200",2004,"Villamar",0,0,"Agriculture, forestry, fishing and hunting",0
"201",2004,"Ixtlan",0,0,"Agriculture, forestry, fishing and hunting",234
"202",2004,"Marcos Castellanos",0,0,"Agriculture, forestry, fishing and hunting",39
"203",2004,"Hidalgo",1,0,"Agriculture, forestry, fishing and hunting",224
"204",2004,"Jungapeo",1,0,"Agriculture, forestry, fishing and hunting",13
"205",2004,"Zitacuaro",1,0,"Agriculture, forestry, fishing and hunting",379
"206",2004,"Angangueo",0,0,"Agriculture, forestry, fishing and hunting",8
"207",2004,"Tlalpujahua",0,0,"Agriculture, forestry, fishing and hunting",0
"208",2004,"Ocampo",1,0,"Agriculture, forestry, fishing and hunting",0
"209",2004,"Maravatio",0,0,"Agriculture, forestry, fishing and hunting",25
"210",2004,"Contepec",0,0,"Agriculture, forestry, fishing and hunting",12
"211",2004,"Huetamo",0,0,"Agriculture, forestry, fishing and hunting",14
"212",2004,"San Lucas",0,0,"Agriculture, forestry, fishing and hunting",290
"213",2004,"Irimbo",0,0,"Agriculture, forestry, fishing and hunting",0
"214",2004,"Aporo",0,0,"Agriculture, forestry, fishing and hunting",0
"215",2004,"Tuxpan",1,0,"Agriculture, forestry, fishing and hunting",733
"216",2004,"Senguio",0,0,"Agriculture, forestry, fishing and hunting",48
"217",2004,"Tiquicheo",0,0,"Agriculture, forestry, fishing and hunting",0
"218",2004,"Tuzantla",0,0,"Agriculture, forestry, fishing and hunting",0
"219",2004,"Juarez",1,0,"Agriculture, forestry, fishing and hunting",0
"220",2004,"Lazaro Cardenas",0,0,"Agriculture, forestry, fishing and hunting",367
"221",2005,"Coahuayana",0,0,"Agriculture, forestry, fishing and hunting",107
"222",2005,"Aquila",0,0,"Agriculture, forestry, fishing and hunting",12
"223",2005,"Morelia",0,0,"Agriculture, forestry, fishing and hunting",2623
"224",2005,"Nocupetaro",0,0,"Agriculture, forestry, fishing and hunting",0
"225",2005,"Patzcuaro",1,0,"Agriculture, forestry, fishing and hunting",377
"226",2005,"Quiroga",1,0,"Agriculture, forestry, fishing and hunting",12
"227",2005,"Tacambaro",1,0,"Agriculture, forestry, fishing and hunting",1484
"228",2005,"Turicato",1,0,"Agriculture, forestry, fishing and hunting",36
"229",2005,"Zacapu",0,0,"Agriculture, forestry, fishing and hunting",412
"230",2005,"Tarimbaro",1,0,"Agriculture, forestry, fishing and hunting",380
"231",2005,"Acuitzio",1,0,"Agriculture, forestry, fishing and hunting",12
"232",2005,"Ario",1,0,"Agriculture, forestry, fishing and hunting",801
"233",2005,"Erongaricuaro",1,0,"Agriculture, forestry, fishing and hunting",20
"234",2005,"La Huacana",0,0,"Agriculture, forestry, fishing and hunting",98
"235",2005,"Huiramba",1,0,"Agriculture, forestry, fishing and hunting",0
"236",2005,"Lagunillas",1,0,"Agriculture, forestry, fishing and hunting",60
"237",2005,"Madero",1,0,"Agriculture, forestry, fishing and hunting",56
"238",2005,"Salvador Escalante",1,0,"Agriculture, forestry, fishing and hunting",581
"239",2005,"Tzintzuntzan",1,0,"Agriculture, forestry, fishing and hunting",24
"240",2005,"Angamacutiro",0,0,"Agriculture, forestry, fishing and hunting",0
"241",2005,"Jose Sixto Verduzco",0,0,"Agriculture, forestry, fishing and hunting",72
"242",2005,"Morelos",0,0,"Agriculture, forestry, fishing and hunting",0
"243",2005,"Panindicuaro",0,0,"Agriculture, forestry, fishing and hunting",0
"244",2005,"Puruandiro",0,0,"Agriculture, forestry, fishing and hunting",436
"245",2005,"Churumuco",0,0,"Agriculture, forestry, fishing and hunting",0
"246",2005,"Zinapecuaro",1,0,"Agriculture, forestry, fishing and hunting",148
"247",2005,"Querendaro",0,0,"Agriculture, forestry, fishing and hunting",24
"248",2005,"Indaparapeo",0,0,"Agriculture, forestry, fishing and hunting",0
"249",2005,"Charo",0,0,"Agriculture, forestry, fishing and hunting",7
"250",2005,"Alvaro Obregon",0,0,"Agriculture, forestry, fishing and hunting",216
"251",2005,"Coeneo",0,0,"Agriculture, forestry, fishing and hunting",0
"252",2005,"Jimenez",0,0,"Agriculture, forestry, fishing and hunting",6
"253",2005,"Huaniqueo",0,0,"Agriculture, forestry, fishing and hunting",12
"254",2005,"Caracuaro",0,0,"Agriculture, forestry, fishing and hunting",0
"255",2005,"Cuitzeo",0,0,"Agriculture, forestry, fishing and hunting",123
"256",2005,"Chucandiro",0,0,"Agriculture, forestry, fishing and hunting",0
"257",2005,"Santa Ana Maya",0,0,"Agriculture, forestry, fishing and hunting",25
"258",2005,"Huandacareo",0,0,"Agriculture, forestry, fishing and hunting",165
"259",2005,"Copandaro",0,0,"Agriculture, forestry, fishing and hunting",0
"260",2005,"Tzitzio",0,0,"Agriculture, forestry, fishing and hunting",0
"261",2005,"Apatzingan",1,0,"Agriculture, forestry, fishing and hunting",461
"262",2005,"Arteaga",0,0,"Agriculture, forestry, fishing and hunting",0
"263",2005,"Charapan",0,0,"Agriculture, forestry, fishing and hunting",12
"264",2005,"Cheran",0,0,"Agriculture, forestry, fishing and hunting",0
"265",2005,"Gabriel Zamora",0,0,"Agriculture, forestry, fishing and hunting",141
"266",2005,"Mugica",0,0,"Agriculture, forestry, fishing and hunting",137
"267",2005,"Nuevo Urecho",0,0,"Agriculture, forestry, fishing and hunting",86
"268",2005,"Paracuaro",0,0,"Agriculture, forestry, fishing and hunting",76
"269",2005,"Paracho",0,0,"Agriculture, forestry, fishing and hunting",0
"270",2005,"Taretan",1,0,"Agriculture, forestry, fishing and hunting",1647
"271",2005,"Uruapan",1,0,"Agriculture, forestry, fishing and hunting",4760
"272",2005,"Tingambato",1,0,"Agriculture, forestry, fishing and hunting",530
"273",2005,"Tepalcatepec",0,0,"Agriculture, forestry, fishing and hunting",40
"274",2005,"Buenavista",0,0,"Agriculture, forestry, fishing and hunting",99
"275",2005,"Ziracuaretiro",1,0,"Agriculture, forestry, fishing and hunting",487
"276",2005,"Nuevo Parangaricutiro",1,0,"Agriculture, forestry, fishing and hunting",1026
"277",2005,"Nahuatzen",0,0,"Agriculture, forestry, fishing and hunting",0
"278",2005,"Coalcoman",0,0,"Agriculture, forestry, fishing and hunting",0
"279",2005,"Tumbiscatio",0,0,"Agriculture, forestry, fishing and hunting",10
"280",2005,"Aguililla",0,0,"Agriculture, forestry, fishing and hunting",0
"281",2005,"Tancitaro",1,0,"Agriculture, forestry, fishing and hunting",1738
"282",2005,"Cotija",1,0,"Agriculture, forestry, fishing and hunting",177
"283",2005,"Chilchota",1,0,"Agriculture, forestry, fishing and hunting",0
"284",2005,"Jacona",0,0,"Agriculture, forestry, fishing and hunting",965
"285",2005,"Jiquilpan",0,0,"Agriculture, forestry, fishing and hunting",353
"286",2005,"La Piedad",0,0,"Agriculture, forestry, fishing and hunting",1158
"287",2005,"Los Reyes",1,0,"Agriculture, forestry, fishing and hunting",1623
"288",2005,"Periban",1,0,"Agriculture, forestry, fishing and hunting",1171
"289",2005,"Sahuayo",0,0,"Agriculture, forestry, fishing and hunting",90
"290",2005,"Tinguindin",1,0,"Agriculture, forestry, fishing and hunting",632
"291",2005,"Tocumbo",1,0,"Agriculture, forestry, fishing and hunting",1133
"292",2005,"Venustiano Carranza",0,0,"Agriculture, forestry, fishing and hunting",98
"293",2005,"Zamora",0,0,"Agriculture, forestry, fishing and hunting",1721
"294",2005,"Penjamillo",0,0,"Agriculture, forestry, fishing and hunting",36
"295",2005,"Pajacuaran",0,0,"Agriculture, forestry, fishing and hunting",322
"296",2005,"Vista Hermosa",0,0,"Agriculture, forestry, fishing and hunting",217
"297",2005,"Tanhuato",0,0,"Agriculture, forestry, fishing and hunting",44
"298",2005,"Brisenas",0,0,"Agriculture, forestry, fishing and hunting",77
"299",2005,"Zinaparo",0,0,"Agriculture, forestry, fishing and hunting",0
"300",2005,"Churintzio",0,0,"Agriculture, forestry, fishing and hunting",12
"301",2005,"Numaran",0,0,"Agriculture, forestry, fishing and hunting",1016
"302",2005,"Tangancicuaro",1,0,"Agriculture, forestry, fishing and hunting",657
"303",2005,"Purepero",1,0,"Agriculture, forestry, fishing and hunting",188
"304",2005,"Tlazazalca",0,0,"Agriculture, forestry, fishing and hunting",138
"305",2005,"Cojumatlan de Regules",0,0,"Agriculture, forestry, fishing and hunting",0
"306",2005,"Chavinda",0,0,"Agriculture, forestry, fishing and hunting",53
"307",2005,"Tangamandapio",1,0,"Agriculture, forestry, fishing and hunting",0
"308",2005,"Yurecuaro",0,0,"Agriculture, forestry, fishing and hunting",247
"309",2005,"Ecuandureo",0,0,"Agriculture, forestry, fishing and hunting",163
"310",2005,"Villamar",0,0,"Agriculture, forestry, fishing and hunting",0
"311",2005,"Ixtlan",0,0,"Agriculture, forestry, fishing and hunting",203
"312",2005,"Marcos Castellanos",0,0,"Agriculture, forestry, fishing and hunting",47
"313",2005,"Hidalgo",1,0,"Agriculture, forestry, fishing and hunting",220
"314",2005,"Jungapeo",1,0,"Agriculture, forestry, fishing and hunting",35
"315",2005,"Zitacuaro",1,0,"Agriculture, forestry, fishing and hunting",475
"316",2005,"Angangueo",0,0,"Agriculture, forestry, fishing and hunting",0
"317",2005,"Tlalpujahua",0,0,"Agriculture, forestry, fishing and hunting",0
"318",2005,"Ocampo",1,0,"Agriculture, forestry, fishing and hunting",0
"319",2005,"Maravatio",0,0,"Agriculture, forestry, fishing and hunting",26
"320",2005,"Contepec",0,0,"Agriculture, forestry, fishing and hunting",4
"321",2005,"Huetamo",0,0,"Agriculture, forestry, fishing and hunting",2
"322",2005,"San Lucas",0,0,"Agriculture, forestry, fishing and hunting",453
"323",2005,"Irimbo",0,0,"Agriculture, forestry, fishing and hunting",0
"324",2005,"Aporo",0,0,"Agriculture, forestry, fishing and hunting",0
"325",2005,"Tuxpan",1,0,"Agriculture, forestry, fishing and hunting",695
"326",2005,"Senguio",0,0,"Agriculture, forestry, fishing and hunting",38
"327",2005,"Tiquicheo",0,0,"Agriculture, forestry, fishing and hunting",0
"328",2005,"Tuzantla",0,0,"Agriculture, forestry, fishing and hunting",0
"329",2005,"Juarez",1,0,"Agriculture, forestry, fishing and hunting",0
"330",2005,"Lazaro Cardenas",0,0,"Agriculture, forestry, fishing and hunting",374
"331",2006,"Coahuayana",0,0,"Agriculture, forestry, fishing and hunting",110
"332",2006,"Aquila",0,0,"Agriculture, forestry, fishing and hunting",26
"333",2006,"Morelia",0,0,"Agriculture, forestry, fishing and hunting",2461
"334",2006,"Nocupetaro",0,0,"Agriculture, forestry, fishing and hunting",0
"335",2006,"Patzcuaro",1,0,"Agriculture, forestry, fishing and hunting",523
"336",2006,"Quiroga",1,0,"Agriculture, forestry, fishing and hunting",12
"337",2006,"Tacambaro",1,0,"Agriculture, forestry, fishing and hunting",1451
"338",2006,"Turicato",1,0,"Agriculture, forestry, fishing and hunting",30
"339",2006,"Zacapu",0,0,"Agriculture, forestry, fishing and hunting",382
"340",2006,"Tarimbaro",1,0,"Agriculture, forestry, fishing and hunting",362
"341",2006,"Acuitzio",1,0,"Agriculture, forestry, fishing and hunting",56
"342",2006,"Ario",1,0,"Agriculture, forestry, fishing and hunting",854
"343",2006,"Erongaricuaro",1,0,"Agriculture, forestry, fishing and hunting",12
"344",2006,"La Huacana",0,0,"Agriculture, forestry, fishing and hunting",98
"345",2006,"Huiramba",1,0,"Agriculture, forestry, fishing and hunting",0
"346",2006,"Lagunillas",1,0,"Agriculture, forestry, fishing and hunting",48
"347",2006,"Madero",1,0,"Agriculture, forestry, fishing and hunting",25
"348",2006,"Salvador Escalante",1,0,"Agriculture, forestry, fishing and hunting",615
"349",2006,"Tzintzuntzan",1,0,"Agriculture, forestry, fishing and hunting",24
"350",2006,"Angamacutiro",0,0,"Agriculture, forestry, fishing and hunting",0
"351",2006,"Jose Sixto Verduzco",0,0,"Agriculture, forestry, fishing and hunting",64
"352",2006,"Morelos",0,0,"Agriculture, forestry, fishing and hunting",0
"353",2006,"Panindicuaro",0,0,"Agriculture, forestry, fishing and hunting",0
"354",2006,"Puruandiro",0,0,"Agriculture, forestry, fishing and hunting",459
"355",2006,"Churumuco",0,0,"Agriculture, forestry, fishing and hunting",0
"356",2006,"Zinapecuaro",1,0,"Agriculture, forestry, fishing and hunting",156
